rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude,content_type,created_month_num,created_full_date,channel_age_days,created_weekday
1,T-Series,245000000,228000000000.0,Music,T-Series,20082,India,IN,Music,1.0,1.0,1.0,2258000000.0,564600.0,9000000.0,6800000.0,108400000.0,2006.0,3.0,13,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Music,3,2006-03-13,7251,0
2,YouTube Movies,170000000,0.0,Film & Animation,youtubemovies,1,United States,US,Games,4055159.0,7670.0,7423.0,12.0,0.0,0.05,0.04,0.58,2006.0,3.0,5,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Film & Animation,3,2006-03-05,7259,6
3,MrBeast,166000000,28368841870.0,Entertainment,MrBeast,741,United States,US,Entertainment,48.0,1.0,1.0,1348000000.0,337000.0,5400000.0,4000000.0,64700000.0,2012.0,2.0,20,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Entertainment,2,2012-02-20,5081,0
4,Cocomelon - Nursery Rhymes,162000000,164000000000.0,Education,Cocomelon - Nursery Rhymes,966,United States,US,Education,2.0,2.0,1.0,1975000000.0,493800.0,7900000.0,5900000.0,94800000.0,2006.0,9.0,1,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Education,9,2006-09-01,7079,4
5,SET India,159000000,148000000000.0,Shows,SET India,116536,India,IN,Entertainment,3.0,2.0,2.0,1824000000.0,455900.0,7300000.0,5500000.0,87500000.0,2006.0,9.0,20,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Shows,9,2006-09-20,7060,2
6,Music,119000000,0.0,,Music,0,Unknown,Unknown,Music,4057944.0,,,64085000.0,0.0,0.0,0.0,0.0,2013.0,9.0,24,,,,,,,Music,9,2013-09-24,4499,1
7,ýýý Kids Diana Show,112000000,93247040539.0,People & Blogs,ýýý Kids Diana Show,1111,United States,US,Entertainment,5.0,3.0,3.0,731674000.0,182900.0,2900000.0,2200000.0,35100000.0,2015.0,5.0,12,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,People & Blogs,5,2015-05-12,3904,1
8,PewDiePie,111000000,29058044447.0,Gaming,PewDiePie,4716,Japan,JP,Entertainment,44.0,1.0,4.0,39184000.0,9800.0,156700.0,117600.0,1900000.0,2010.0,4.0,29,63.2,126226568.0,2.29,115782416.0,36.204824,138.252924,Gaming,4,2010-04-29,5743,3
9,Like Nastya,106000000,90479060027.0,People & Blogs,Like Nastya Vlog,493,Russia,RU,People,630.0,5.0,25.0,48947000.0,12200.0,195800.0,146800.0,2300000.0,2016.0,1.0,14,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756,People & Blogs,1,2016-01-14,3657,3
10,Vlad and Niki,98900000,77180169894.0,Entertainment,Vlad and Niki,574,United States,US,Entertainment,8.0,5.0,6.0,580574000.0,145100.0,2300000.0,1700000.0,27900000.0,2018.0,4.0,23,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Entertainment,4,2018-04-23,2827,0
11,Zee Music Company,96700000,57856289381.0,Music,Zee Music Company,8548,India,IN,Music,12.0,3.0,2.0,803613000.0,200900.0,3200000.0,2400000.0,38600000.0,2014.0,3.0,12,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Music,3,2014-03-12,4330,2
12,WWE,96000000,77428473662.0,Sports,WWE,70127,United States,US,Sports,7.0,6.0,1.0,714614000.0,178700.0,2900000.0,2100000.0,34300000.0,2007.0,5.0,11,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Sports,5,2007-05-11,6827,4
13,Gaming,93600000,0.0,,Gaming,0,Unknown,Unknown,Games,4057944.0,,1.0,64085000.0,0.0,0.0,0.0,0.0,2013.0,12.0,15,,,,,,,Games,12,2013-12-15,4417,6
14,BLACKPINK,89800000,32144597566.0,People & Blogs,BLACKPINK,543,South Korea,KR,Music,32.0,1.0,3.0,498930000.0,124700.0,2000000.0,1500000.0,23900000.0,2016.0,6.0,29,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922,People & Blogs,6,2016-06-29,3490,2
15,Goldmines,86900000,24118230580.0,Film & Animation,goldmines,1,Unknown,Unknown,Music,4056562.0,,5663.0,18.0,0.0,0.07,0.05,0.86,2006.0,8.0,15,,,,,,,Film & Animation,8,2006-08-15,7096,1
16,Sony SAB,83000000,101000000000.0,Shows,Sony SAB,71270,India,IN,Entertainment,4.0,5.0,7.0,1657000000.0,414300.0,6600000.0,5000000.0,79600000.0,2007.0,8.0,4,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Shows,8,2007-08-04,6742,5
17,5-Minute Crafts,80100000,26236790209.0,Howto & Style,5-Minute Crafts 2.0,1,United Kingdom,GB,Entertainment,4057901.0,4797.0,6781.0,1.0,0.0,0.0,0.0,0.05,2020.0,7.0,27,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973,Howto & Style,7,2020-07-27,2001,0
18,BANGTANTV,75600000,20826993957.0,Music,BANGTANTV,2281,South Korea,KR,Music,112.0,2.0,4.0,168290000.0,42100.0,673200.0,504900.0,8100000.0,2012.0,12.0,17,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922,Music,12,2012-12-17,4780,0
19,Sports,75000000,0.0,,sports,3,United States,US,Entertainment,3898122.0,6266.0,5395.0,16.0,0.0,0.06,0.05,0.77,2006.0,1.0,30,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Entertainment,1,2006-01-30,7293,0
20,Justin Bieber,71600000,30608119724.0,Music,Justin Bieber,249,Canada,CA,Music,38.0,1.0,6.0,176326000.0,44100.0,705300.0,529000.0,8500000.0,2007.0,1.0,15,68.9,36991981.0,5.56,30628482.0,56.130366,-106.346771,Music,1,2007-01-15,6943,0
21,HYBE LABELS,71300000,28634566938.0,Music,HYBE LABELS,1337,South Korea,KR,Music,46.0,3.0,5.0,598173000.0,149500.0,2400000.0,1800000.0,28700000.0,2008.0,6.0,4,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922,Music,6,2008-06-04,6437,2
22,Zee TV,70500000,73139054467.0,Entertainment,Zee TV,129204,India,IN,Entertainment,9.0,6.0,8.0,1707000000.0,426800.0,6800000.0,5100000.0,81900000.0,2005.0,12.0,11,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Entertainment,12,2005-12-11,7343,6
23,Pinkfong Baby Shark - Kids' Songs & Stories,68200000,38843229963.0,Education,Pinkfong Baby Shark - Kids' Songs & Stories,2865,United States,US,Education,23.0,8.0,2.0,473387000.0,118300.0,1900000.0,1400000.0,22700000.0,2011.0,12.0,14,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Education,12,2011-12-14,5149,2
24,Canal KondZilla,66500000,36775585925.0,Music,Canal KondZilla,2572,Brazil,BR,Music,25.0,1.0,7.0,447223000.0,0.0,0.0,0.0,0.0,2012.0,3.0,21,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528,Music,3,2012-03-21,5051,2
25,ChuChu TV Nursery Rhymes & Kids Songs,65900000,45757850229.0,Education,ChuChu TV Nursery Rhymes & Kids Songs,633,India,IN,Education,18.0,7.0,3.0,420292000.0,105100.0,1700000.0,1300000.0,20200000.0,2013.0,2.0,9,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Education,2,2013-02-09,4726,5
26,Shemaroo Filmi Gaane,65600000,28648024439.0,Music,Shemaroo Filmi Gaane,8502,India,IN,Music,47.0,8.0,8.0,254961000.0,63700.0,1000000.0,764900.0,12200000.0,2010.0,6.0,11,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Music,6,2010-06-11,5700,4
27,Colors TV,64600000,61510906457.0,Shows,Colors TV,112915,India,IN,Entertainment,10.0,9.0,9.0,1188000000.0,296900.0,4800000.0,3600000.0,57000000.0,2008.0,6.0,13,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Shows,6,2008-06-13,6428,4
28,T-Series Bhakti Sagar,61000000,29533230328.0,Music,T- SERIES BHAKTI SAGAR,13,India,IN,Music,4053938.0,5803.0,5744.0,10.0,0.0,0.04,0.03,0.48,2018.0,8.0,3,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Music,8,2018-08-03,2725,4
29,Dude Perfect,59500000,16241549158.0,Sports,Dude Perfect,389,United States,US,Sports,182.0,9.0,3.0,141200000.0,35300.0,564800.0,423600.0,6800000.0,2009.0,3.0,17,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Sports,3,2009-03-17,6151,1
30,Movieclips,59500000,59316472754.0,Film & Animation,Movieclips,39113,United States,US,Film,11.0,9.0,3.0,114668000.0,28700.0,458700.0,344000.0,5500000.0,2006.0,4.0,28,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Film & Animation,4,2006-04-28,7205,4
31,Tips Official,59300000,33431802698.0,Music,Tips Official,4741,India,IN,Music,30.0,11.0,10.0,422634000.0,105700.0,1700000.0,1300000.0,20300000.0,2007.0,5.0,22,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Music,5,2007-05-22,6816,1
32,El Reino Infantil,58400000,57271630846.0,Music,El Reino Infantil,1510,Argentina,AR,Music,13.0,1.0,11.0,611828000.0,153000.0,2400000.0,1800000.0,29400000.0,2011.0,6.0,2,90.0,44938712.0,9.79,41339571.0,-38.416097,-63.616672,Music,6,2011-06-02,5344,3
33,Wave Music,58000000,40602020243.0,Music,Wave Music,19487,India,IN,Music,21.0,12.0,12.0,232025000.0,58000.0,928100.0,696100.0,11100000.0,2014.0,10.0,29,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Music,10,2014-10-29,4099,2
34,Aaj Tak,57600000,25307753534.0,News & Politics,Aaj Tak,283775,India,IN,News,71.0,13.0,1.0,461148000.0,115300.0,1800000.0,1400000.0,22100000.0,2009.0,8.0,27,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,News & Politics,8,2009-08-27,5988,3
35,Sony Music India,57200000,28837144516.0,Music,Sony Music India,3882,India,IN,Music,45.0,14.0,13.0,259310000.0,64800.0,1000000.0,777900.0,12400000.0,2009.0,9.0,2,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Music,9,2009-09-02,5982,2
36,EminemMusic,56900000,27073872856.0,Music,EminemMusic,156,United States,US,Music,59.0,10.0,14.0,260193000.0,65000.0,1000000.0,780600.0,12500000.0,2007.0,2.0,9,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Music,2,2007-02-09,6918,4
37,Marshmello,56400000,14696003229.0,Entertainment,Marshmello,436,United States,US,Music,233.0,11.0,15.0,112100000.0,28000.0,448400.0,336300.0,5400000.0,2015.0,4.0,6,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Entertainment,4,2015-04-06,3940,0
38,YRF,54600000,35302243691.0,Film & Animation,YRF,3707,India,IN,Music,28.0,15.0,16.0,512093000.0,128000.0,2000000.0,1500000.0,24600000.0,2006.0,6.0,7,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Film & Animation,6,2006-06-07,7165,2
39,LooLoo Kids - Nursery Rhymes and Children's Songs,54000000,32312431239.0,Music,LooLoo Kids - Nursery Rhymes and Children's ï¿½,11,Unknown,Unknown,,3800129.0,,,159.0,0.04,0.64,0.48,8.0,2016.0,11.0,29,,,,,,,Music,11,2016-11-29,3337,1
40,Ed Sheeran,53500000,30367676736.0,Music,Ed Sheeran,383,United Kingdom,GB,Music,39.0,1.0,18.0,202720000.0,50700.0,810900.0,608200.0,9700000.0,2006.0,8.0,8,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973,Music,8,2006-08-08,7103,1
41,Infobells - Hindi,53300000,30516172739.0,Education,Infobells - Hindi,577,India,IN,Education,37.0,16.0,4.0,815949000.0,204000.0,3300000.0,2400000.0,39200000.0,2014.0,6.0,6,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Education,6,2014-06-06,4244,4
42,Taylor Swift,52900000,29884657286.0,Music,Taylor Swift,216,United States,US,Music,40.0,13.0,19.0,528392000.0,132100.0,2100000.0,1600000.0,25400000.0,2006.0,9.0,20,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Music,9,2006-09-20,7060,2
43,Ariana Grande,52700000,24004842608.0,Music,Ariana Grande,147,United States,US,Music,78.0,14.0,20.0,160216000.0,40100.0,640900.0,480600.0,7700000.0,2007.0,1.0,22,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Music,1,2007-01-22,6936,0
44,BillionSurpriseToys  - Nursery Rhymes & Cartoons,52200000,9877365274.0,Education,BillionSurpriseToys  - Nursery Rhymes & Cartï¿½,847,United States,US,Education,450.0,15.0,5.0,266747000.0,66700.0,1100000.0,800200.0,12800000.0,2013.0,10.0,25,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Education,10,2013-10-25,4468,4
45,JuegaGerman,48100000,14631710289.0,Gaming,JuegaGerman,2052,Chile,CL,Games,237.0,1.0,2.0,66388000.0,16600.0,265600.0,199200.0,3200000.0,2013.0,5.0,19,88.5,18952038.0,7.09,16610135.0,-35.675147,-71.542969,Gaming,5,2013-05-19,4627,6
46,Billie Eilish,47900000,13626331061.0,Music,Billie Eilish,65,United States,US,Music,263.0,16.0,21.0,146862000.0,36700.0,587400.0,440600.0,7000000.0,2013.0,2.0,6,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Music,2,2013-02-06,4729,2
47,Get Movies,47500000,30788679536.0,Entertainment,Get Movies,3322,Russia,RU,Film,35.0,1.0,4.0,306540000.0,76600.0,1200000.0,919600.0,14700000.0,2006.0,12.0,16,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756,Entertainment,12,2006-12-16,6973,5
48,Shemaroo,47400000,22519705183.0,Entertainment,Shemaroo,11451,India,IN,Entertainment,97.0,17.0,10.0,232744000.0,58200.0,931000.0,698200.0,11200000.0,2007.0,9.0,1,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Entertainment,9,2007-09-01,6714,5
49,Badabun,46800000,19398045702.0,Entertainment,badabun,1,Unknown,Unknown,Music,4047729.0,,5525.0,440.0,0.11,2.0,1.0,21.0,2007.0,7.0,21,,,,,,,Entertainment,7,2007-07-21,6756,5
50,SonyMusicIndiaVEVO,46600000,27286058807.0,Music,SonyMusicIndiaVEVO,3444,United States,US,Music,55.0,17.0,22.0,314505000.0,78600.0,1300000.0,943500.0,15100000.0,2009.0,9.0,2,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Music,9,2009-09-02,5982,2
51,A4,46300000,22936630813.0,Gaming,aefour,1,Cuba,CU,People,4053056.0,99.0,5359.0,94.0,0.02,0.38,0.28,5.0,2006.0,3.0,11,41.4,11333483.0,1.64,8739135.0,21.521757,-77.781167,Gaming,3,2006-03-11,7253,5
52,Bad Bunny,46100000,30686342319.0,Music,badbunny,1,Unknown,Unknown,Sports,4046070.0,,4501.0,1.0,0.0,0.0,0.0,0.05,2005.0,11.0,15,,,,,,,Music,11,2005-11-15,7369,1
53,Fernanfloo,46100000,10323391593.0,Gaming,Fernanfloo,543,El Salvador,SV,Games,419.0,1.0,3.0,33842000.0,8500.0,135400.0,101500.0,1600000.0,2011.0,5.0,2,29.4,6453553.0,4.11,4694702.0,13.794185,-88.89653,Gaming,5,2011-05-02,5375,0
54,Voot Kids,45500000,21388725229.0,Entertainment,Voot Kids,4660,India,IN,Entertainment,105.0,18.0,13.0,233988000.0,58500.0,936000.0,702000.0,11200000.0,2016.0,11.0,23,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Entertainment,11,2016-11-23,3343,2
55,Felipe Neto,45200000,16602198273.0,Entertainment,Felipe Neto,4331,Brazil,BR,Entertainment,174.0,2.0,14.0,130359000.0,32600.0,521400.0,391100.0,6300000.0,2006.0,5.0,16,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528,Entertainment,5,2006-05-16,7187,1
56,Vocï¿½ï¿½ï¿½,44700000,7828610828.0,Entertainment,Vocï¿½ï¿½ï¿½,1558,Brazil,BR,Entertainment,681.0,3.0,15.0,48032000.0,12000.0,192100.0,144100.0,2300000.0,2013.0,9.0,1,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528,Entertainment,9,2013-09-01,4522,6
57,HAR PAL GEO,44600000,41139050371.0,Entertainment,HAR PAL GEO,100755,Pakistan,PK,Entertainment,20.0,1.0,15.0,1337000000.0,334300.0,5300000.0,4000000.0,64200000.0,2008.0,1.0,2,9.0,216565318.0,4.45,79927762.0,30.375321,69.345116,Entertainment,1,2008-01-02,6591,2
58,BRIGHT SIDE,44500000,10708531817.0,Howto & Style,brightside,0,Unknown,Unknown,,4057944.0,,,64085000.0,0.0,0.0,0.0,0.0,2005.0,11.0,18,,,,,,,Howto & Style,11,2005-11-18,7366,4
59,Katy Perry,44200000,25458952022.0,Music,Katy Perry,128,United States,US,Music,70.0,19.0,24.0,134242000.0,33600.0,537000.0,402700.0,6400000.0,2008.0,6.0,1,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Music,6,2008-06-01,6440,6
60,whinderssonnunes,44200000,4274709210.0,Comedy,whinderssonnunes,558,Brazil,BR,Comedy,1741.0,4.0,1.0,26683000.0,6700.0,106700.0,80100.0,1300000.0,2013.0,1.0,21,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528,Comedy,1,2013-01-21,4745,0
61,ABS-CBN Entertainment,44200000,50292540392.0,People & Blogs,ABS-CBN Entertainment,193890,Philippines,PH,Entertainment,16.0,1.0,16.0,176629000.0,44200.0,706500.0,529900.0,8500000.0,2008.0,7.0,16,35.5,108116615.0,2.15,50975903.0,12.879721,121.774017,People & Blogs,7,2008-07-16,6395,2
62,Alan Walker,43700000,12884264778.0,Music,alanwalker,8,Thailand,TH,Film,4056116.0,4026.0,5270.0,22.0,0.01,0.09,0.07,1.0,2006.0,5.0,12,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541,Music,5,2006-05-12,7191,4
63,HolaSoyGerman.,43600000,4831311245.0,Entertainment,holasoygerman. 2,6,Unknown,Unknown,People,4047806.0,,7716.0,4.0,0.0,0.02,0.01,0.19,2016.0,5.0,27,,,,,,,Entertainment,5,2016-05-27,3523,4
64,Shakira,43500000,27568757295.0,People & Blogs,Shakira,326,Colombia,CO,Howto,52.0,1.0,3.0,353412000.0,88400.0,1400000.0,1100000.0,17000000.0,2005.0,10.0,16,55.3,50339443.0,9.71,40827302.0,4.570868,-74.297333,People & Blogs,10,2005-10-16,7399,6
65,ýýýýýýýý ýý ýýýýýýýýýýýýýý,43200000,36458726976.0,Film & Animation,ýýýýýýýý ýý ýýýýýýýýýýýýýý,1478,Russia,RU,Education,26.0,2.0,6.0,303780000.0,75900.0,1200000.0,911300.0,14600000.0,2011.0,5.0,31,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756,Film & Animation,5,2011-05-31,5346,1
66,ARY Digital HD,43200000,37939780685.0,Entertainment,ARY Digital HD,109871,Pakistan,PK,Entertainment,24.0,2.0,18.0,1149000000.0,287300.0,4600000.0,3400000.0,55200000.0,2016.0,7.0,11,9.0,216565318.0,4.45,79927762.0,30.375321,69.345116,Entertainment,7,2016-07-11,3478,0
67,Speed Records,42500000,26820902622.0,Music,Speed Records,10938,India,IN,Music,62.0,19.0,26.0,159757000.0,39900.0,639000.0,479300.0,7700000.0,2012.0,11.0,22,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Music,11,2012-11-22,4805,3
68,Masha and The Bear,42400000,24519022988.0,Shows,Masha and The Bear,1218,United States,US,Film,74.0,20.0,5.0,670459000.0,167600.0,2700000.0,2000000.0,32200000.0,2014.0,9.0,17,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Shows,9,2014-09-17,4141,2
69,Like Nastya Show,42400000,19547696190.0,Entertainment,Like Nastya Show,618,United States,US,Entertainment,128.0,21.0,19.0,53202000.0,13300.0,212800.0,159600.0,2600000.0,2017.0,11.0,14,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Entertainment,11,2017-11-14,2987,1
70,Rihanna,41900000,22477745835.0,Entertainment,Rihanna,84,Barbados,BB,Music,98.0,1.0,27.0,182926000.0,45700.0,731700.0,548800.0,8800000.0,2005.0,11.0,6,65.4,287025.0,10.33,89431.0,13.193887,-59.543198,Entertainment,11,2005-11-06,7378,6
71,Ishtar Music,41400000,17608931161.0,Trailers,Ishtar Music,4510,India,IN,Music,155.0,20.0,28.0,180942000.0,45200.0,723800.0,542800.0,8700000.0,2005.0,9.0,22,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Trailers,9,2005-09-22,7423,3
72,Kimberly Loaiza,41300000,5603111948.0,People & Blogs,Kimberly Loaiza,291,Mexico,MX,People,1157.0,2.0,1.0,136745000.0,34200.0,547000.0,410200.0,6600000.0,2016.0,11.0,16,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784,People & Blogs,11,2016-11-16,3350,2
73,Little Baby Bum - Nursery Rhymes & Kids Songs,40900000,39450824833.0,Education,Little Baby Bum - Nursery Rhymes & Kids Songs,2423,United States,US,Education,22.0,22.0,7.0,98775000.0,24700.0,395100.0,296300.0,4700000.0,2011.0,6.0,22,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Education,6,2011-06-22,5324,2
74,Luisito Comunica,40600000,8670473639.0,Comedy,Luis Arturo Villar Sudek,0,Mexico,MX,Comedy,3612215.0,3021.0,,64085000.0,0.0,0.0,0.0,0.0,2010.0,6.0,18,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784,Comedy,6,2010-06-18,5693,4
75,elrubiusOMG,40400000,7410536668.0,Gaming,elrubiusOMG,703,Unknown,Unknown,Entertainment,756.0,,21.0,5773000.0,1400.0,23100.0,17300.0,277100.0,2011.0,12.0,20,,,,,,,Gaming,12,2011-12-20,5143,1
76,Toys and Colors,40300000,47005053156.0,Entertainment,Toys and colors,4,Unknown,Unknown,People,3989650.0,,7330.0,5.0,0.0,0.02,0.02,0.24,2018.0,6.0,14,,,,,,,Entertainment,6,2018-06-14,2775,3
77,shfa2 - ï¿½ï¿½,39700000,23884824160.0,People & Blogs,shfa2 - ï¿½ï¿½,1596,United Arab Emirates,AE,People,81.0,1.0,2.0,247731000.0,61900.0,990900.0,743200.0,11900000.0,2017.0,11.0,6,36.8,9770529.0,2.35,8479744.0,23.424076,53.847818,People & Blogs,11,2017-11-06,2995,0
78,LUCCAS NETO - LUCCAS TOON,39400000,22302547082.0,People & Blogs,LUCCAS NETO- LUCCAS TOON,1,Unknown,Unknown,Games,4057895.0,,7498.0,2.0,0.0,0.01,0.01,0.1,2021.0,3.0,25,,,,,,,People & Blogs,3,2021-03-25,1760,3
79,CarryMinati,39200000,3294013141.0,Comedy,CarryMinati,186,India,IN,Comedy,2487.0,21.0,2.0,78688000.0,19700.0,314800.0,236100.0,3800000.0,2014.0,10.0,30,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Comedy,10,2014-10-30,4098,3
80,XXXTENTACION,39200000,10507474316.0,Music,XXXTENTACION,133,United States,US,Music,403.0,24.0,29.0,58362000.0,14600.0,233400.0,175100.0,2800000.0,2015.0,6.0,23,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Music,6,2015-06-23,3862,1
81,Super Simple Songs - Kids Songs,39200000,44900897958.0,Education,Super Simple Songs - Kids Songs,744,Canada,CA,Education,19.0,2.0,8.0,560756000.0,140200.0,2200000.0,1700000.0,26900000.0,2006.0,9.0,8,68.9,36991981.0,5.56,30628482.0,56.130366,-106.346771,Education,9,2006-09-08,7072,4
82,Mikecrack,39100000,16118181673.0,Gaming,Mikecrack,1876,Spain,ES,Games,188.0,1.0,4.0,264108000.0,66000.0,1100000.0,792300.0,12700000.0,2015.0,7.0,13,88.9,47076781.0,13.96,37927409.0,40.463667,-3.74922,Gaming,7,2015-07-13,3842,0
83,WorkpointOfficial,39000000,36131228583.0,Entertainment,WorkpointOfficial,72580,Thailand,TH,Entertainment,27.0,1.0,24.0,130461000.0,32600.0,521800.0,391400.0,6300000.0,2012.0,11.0,5,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541,Entertainment,11,2012-11-05,4822,0
84,GR6 EXPLODE,38900000,25154232306.0,Music,GR6 EXPLODE,3043,Brazil,BR,Music,73.0,6.0,30.0,1635000000.0,408700.0,6500000.0,4900000.0,78500000.0,2014.0,8.0,5,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528,Music,8,2014-08-05,4184,1
85,TEDx Talks,38600000,7339333120.0,Nonprofits & Activism,TEDx Talks,200933,United States,US,Nonprofit,768.0,25.0,1.0,45638000.0,11400.0,182600.0,136900.0,2200000.0,2009.0,6.0,23,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Nonprofits & Activism,6,2009-06-23,6053,1
86,shfa,38400000,21528116909.0,People & Blogs,ýýýýýýýýýý ýýýýýý,982,Saudi Arabia,SA,Games,150882.0,774.0,1454.0,1589000.0,397.0,6400.0,4800.0,76300.0,2018.0,5.0,24,68.0,34268528.0,5.93,28807838.0,23.885942,45.079162,People & Blogs,5,2018-05-24,2796,3
87,Goldmines Gaane Sune Ansune,38300000,16718192386.0,Music,Goldmines Gaane Sune Ansune,3532,India,IN,Music,170.0,22.0,31.0,814756000.0,203700.0,3300000.0,2400000.0,39100000.0,2015.0,8.0,24,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Music,8,2015-08-24,3800,0
88,One Direction,38200000,13598903820.0,Music,21 Savage,11,United States,US,Music,539848.0,2904.0,2594.0,6348.0,2.0,25.0,19.0,305.0,2016.0,6.0,26,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Music,6,2016-06-26,3493,6
89,TheEllenShow,38200000,22756581750.0,Entertainment,TheEllenShow,15672,United States,US,Entertainment,93.0,26.0,26.0,21804000.0,5500.0,87200.0,65400.0,1000000.0,2006.0,11.0,21,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Entertainment,11,2006-11-21,6998,1
90,Sony PAL,38200000,28519339489.0,Shows,Sony PAL,24089,India,IN,Entertainment,49.0,23.0,25.0,415914000.0,104000.0,1700000.0,1200000.0,20000000.0,2014.0,5.0,9,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Shows,5,2014-05-09,4272,4
91,Daddy Yankee,38000000,22731415608.0,Music,Daddy Yankee,505,United States,US,Music,92.0,27.0,33.0,205594000.0,51400.0,822400.0,616800.0,9900000.0,2011.0,5.0,16,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Music,5,2011-05-16,5361,0
92,Vlad vï¿½ï¿½ï,37900000,23510152352.0,,Vlad vï¿½ï¿½ï,515,United States,US,Entertainment,84.0,28.0,27.0,244093000.0,61000.0,976400.0,732300.0,11700000.0,2018.0,7.0,20,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Entertainment,7,2018-07-20,2739,4
93,Like Nastya ESP,37600000,18208196857.0,Entertainment,Like Nastya ESP,743,United States,US,Entertainment,145.0,29.0,28.0,321026000.0,80300.0,1300000.0,963100.0,15400000.0,2017.0,4.0,22,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Entertainment,4,2017-04-22,3193,5
94,ýýýýýýýýýýýý one31,37500000,27262462114.0,Entertainment,ýýýýýýýýýýýý one31,117152,Thailand,TH,Entertainment,56.0,2.0,29.0,140754000.0,35200.0,563000.0,422300.0,6800000.0,2013.0,1.0,10,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541,Entertainment,1,2013-01-10,4756,3
